Fund Name,,,,RP,PM,TER,MF,SAM,ReturnMTD,ReturnYTD,NAV,Date,AUM
Alfalah Consumer Index Exchange Traded Fund,,,,High,Backward,2.4%,0.18%,-,5.34%,51.23%,15.38,2025-05-27,"20,090,000"
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Active Allocation Plan),,,,High,Forward,0.26%,1.2%,-,5.34%,54.84%,144.29,2025-05-26,"107,240,000"
Meezan Tahaffuz Pension Fund,,,,-,Forward,2.58%,1.5%,3%,5.33%,56.48%,1348.15,2025-05-27,"7,030,430,000"
Atlas Islamic Fund of Funds (Atlas Aggressive Allocation Islamic Plan),,,,High,Forward,0.29%,1%,-,5.27%,40.4%,1153.87,2025-05-27,"336,000,000"
Lakson Equity Fund,,,,High,Forward,4.09%,3%,-,5.23%,53.34%,245.052,2025-05-27,"4,034,000,000"
HBL Growth Fund-Class A,,,,-,-,1.88%,1%,-,5.21%,111.54%,42.1985,2025-05-27,"11,371,000,000"
Alfalah GHP Alpha Fund,,,,High,Forward,4.92%,3.97%,1.25%,5.18%,57.76%,80.68,2025-05-27,"1,761,080,000"
Alfalah GHP Stock Fund,,,,High,Forward,5.07%,3.36%,1.07%,5.06%,56.03%,146.844,2025-05-27,"7,131,060,000"
AL Habib Pension Fund,,,,-,-,1.96%,1.02%,1.02%,5.04%,70.29%,369.747,2025-05-27,"360,240,000"
Alfalah GHP Value Fund,,,,High,Forward,4.99%,3.32%,0.02%,5.01%,43.71%,70.1368,2025-05-27,"340,740,000"
Al Meezan Mutual Fund,,,,High,Forward,4.4%,3%,0.55%,5.01%,55.05%,37.8333,2025-05-26,"11,030,000,000"
HBL Stock Fund,,,,High,Forward,4.6%,2.7%,0.28%,5%,36.99%,165.118,2025-05-27,"780,000,000"
ABL Financial Planning Fund (Strategic Allocation Plan),,,,Medium to High,Forward,0.56%,1%,1%,4.98%,49.21%,116.523,2025-05-26,"64,000,000"
Lucky Islamic Stock Fund,,,,-,-,1.04%,2.5%,-,4.96%,2.41%,102.41,2025-05-27,"1,087,490,000"
Alhamra Islamic Asset Allocation Fund,,,,High,Forward,4.86%,3.48%,0.3%,4.95%,46.21%,163.897,2025-05-27,"1,797,000,000"
Alfalah GHP Pension Fund,,,,-,Forward,4.57%,3.25%,-,4.87%,55.07%,239.292,2025-05-27,"180,630,000"
Meezan Energy Fund,,,,High,Forward,5.06%,2.5%,0.44%,4.86%,54.09%,52.551,2025-05-27,"3,372,610,000"
ABL Islamic Financial Planning Fund (Active Allocation Plan),,,,Medium to High,Forward,0.35%,1%,2%,4.82%,35.31%,113.631,2025-05-26,"85,000,000"
National Investment Unit Trust,,,,High,Forward,2.99%,1.44%,0.66%,4.7%,53.04%,130.53,2025-05-27,"82,335,000,000"
Alfalah GHP Islamic Stock Fund,,,,High,Forward,5.14%,3.5%,1.07%,4.54%,42.93%,55.2352,2025-05-27,"4,065,490,000"
AL Habib Asset Allocation Fund,,,,-,-,3.82%,2%,2%,4.53%,61.36%,160.324,2025-05-27,"156,780,000"
Alfalah Strategic Allocation Fund Plan - I,,,,-,-,0.46%,0.05%,0.05%,4.5%,2.44%,102.265,2025-05-26,"97,980,000"
Atlas Islamic Fund of Funds (Atlas Moderate Allocation Islamic Plan),,,,High,Forward,0.26%,1%,-,4.49%,34.38%,1025.48,2025-05-27,"316,000,000"
Pakistan Capital Market Fund,,,,High,Forward,4.85%,3.48%,0.3%,4.45%,37.11%,23.46,2025-05-27,"682,000,000"
MCB Pakistan Asset Allocation Fund,,,,High,Forward,5.09%,3.48%,0.3%,4.43%,47.57%,176.748,2025-05-27,"736,000,000"
Meezan Asset Allocation Fund,,,,High,Forward,5.29%,2.5%,0.44%,4.28%,51.05%,91.6954,2025-05-27,"581,800,000"
Meezan Financial Planning Fund of Funds (Aggressive),,,,High,Forward,0.36%,1%,0.55%,4.28%,41.58%,145.273,2025-05-26,"170,000,000"
JS Growth Fund,,,,High,Forward,4.99%,2%,1.7%,4.25%,45.11%,372.61,2025-05-27,"3,693,230,000"
Alfalah Asset Allocation Fund (Formerly: Faysal Asset Allocation Fund),,,,High,Forward,3.27%,2.37%,0.3%,4.08%,51.55%,93.48,2025-05-27,"157,720,000"
JS Large Cap Fund,,,,Low,Forward,5.01%,2.5%,0.57%,4.05%,50.55%,303.24,2025-05-27,"2,320,200,000"
NIT Asset Allocation Fund,,,,High,Forward,2.51%,1.5%,1.51%,3.89%,31.94%,17.1979,2025-05-27,"875,000,000"
JS Pension Savings Fund,,,,-,Forward,2.99%,1.5%,-,3.8%,61.85%,1242.72,2025-05-27,"123,520,000"
Meezan Dynamic Asset Allocation Fund (Meezan Dividend Yield Plan),,,,-,-,5.36%,2.5%,0.44%,3.67%,35.85%,67.8692,2025-05-27,"273,530,000"
Meezan Strategic Allocation Fund (MSAP V),,,,-,-,0.53%,1%,-,3.62%,37.92%,89.2246,2025-05-26,"41,210,000"
Meezan Financial Planning Fund of Funds (MAAP I),,,,High,Forward,0.41%,1%,-,3.61%,40.18%,116.75,2025-05-26,"124,000,000"
Al Ameen Islamic Asset Allocation Fund,,,,Medium,Forward,3.05%,2%,-,3.58%,29.39%,202.716,2025-05-28,"1,540,150,000"
Meezan Strategic Allocation Fund (MSAP III),,,,-,-,0.49%,1%,-,3.53%,40.95%,76.2328,2025-05-26,"109,510,000"
Meezan Strategic Allocation Fund (MSAP I),,,,-,-,0.53%,1%,-,3.52%,43.73%,80.6905,2025-05-26,"103,020,000"
Meezan Strategic Allocation Fund (MSAP IV),,,,-,-,0.42%,2%,0.44%,3.51%,39.4%,79.9766,2025-05-26,"71,510,000"
Meezan Balanced Fund,,,,Medium,Forward,4.21%,3%,0.55%,3.5%,32.49%,24.3184,2025-05-27,"2,908,860,000"
Alfalah Financial Sector Income Plan II,,,,Medium,Forward,0.66%,0.05%,0.02%,3.47%,8.38%,100,2025-05-27,"220,450,000"
Meezan Strategic Allocation Fund (MSAP II),,,,-,-,0.89%,1%,-,3.47%,43.3%,69.3164,2025-05-26,"47,540,000"
Alfalah GHP Prosperity Planning Fund (Capital Preservation Plan IV),,,,-,-,0.19%,1.2%,-,3.13%,30%,129.996,2025-05-26,"528,820,000"
Meezan Financial Planning Fund of Funds (Moderate),,,,Medium,Forward,0.36%,1%,-,3.03%,31.94%,123.558,2025-05-26,"137,000,000"
JS Islamic Fund,,,,High,Forward,5.16%,2%,1.07%,2.98%,46.54%,207.99,2025-05-27,"376,990,000"
Atlas Islamic Fund of Funds (Atlas Conservative Allocation Islamic Plan),,,,Medium,Forward,0.29%,1%,-,2.93%,24.89%,852.409,2025-05-27,"300,000,000"
JS Islamic Pension Savings Fund,,,,-,Forward,3.41%,1.5%,-,2.91%,50.99%,1538.77,2025-05-27,"47,610,000"
Unit Trust of Pakistan,,,,-,-,5.04%,2.5%,0.57%,2.69%,38.88%,315.66,2025-05-27,"2,281,320,000"
Alfalah Special Savings Fund - II (Formerly: Faysal Special Savings Plan II),,,,-,-,1.41%,0.01%,1%,2.62%,13.6%,121.7,2025-05-27,"51,390,000"
Alfalah Special Savings Fund - I (Formerly: Faysal Special Savings Plan I),,,,-,-,1.35%,0.01%,0.15%,2.57%,4.19%,141.16,2025-05-27,"52,460,000"
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Moderate Allocation Plan),,,,Medium,Forward,0.54%,1.45%,-,2.5%,26.8%,132.321,2025-05-26,"52,580,000"
Alhamra Smart Portfolio,,,,-,-,0.96%,0.03%,-,2.44%,21.05%,156.041,2025-05-27,"186,950,000"
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Active Allocation Plan II),,,,High,Forward,0.31%,1.45%,-,2.41%,45.11%,131.758,2025-05-26,"28,130,000"
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Moderate Allocation Plan),,,,Medium,Forward,0.46%,1.2%,-,2.39%,32.47%,130.899,2025-05-26,"45,740,000"
ABL Islamic Financial Planning Fund (Capital Preservation Plan I),,,,Medium to High,Forward,0.37%,1%,1%,2.36%,20.8%,120.875,2025-05-26,"242,000,000"
Faysal Islamic Stock Fund,,,,High,Forward,4.9%,2%,0.5%,2.35%,43.57%,134.747,2025-05-27,"567,990,000"
NIT Pension Fund,,,,Medium to High,Forward,0.97%,0.5%,0.94%,2.28%,42.8%,40.1182,2025-05-25,"313,500,000"
UBL Retirement Saving Fund,,,,-,-,2.4%,0.6%,0.76%,1.9%,39.54%,340.2,2025-05-26,"10,810,000"
ABL Special Saving Fund (ABL Special Saving Plan VI),,,,-,-,1.41%,0.95%,1%,1.87%,18.09%,10.6589,2025-05-27,"2,160,000,000"
Meezan Financial Planning Fund of Funds (Conservative),,,,Medium,Forward,0.41%,1%,-,1.81%,21.28%,111.035,2025-05-26,"87,000,000"
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Conservative Allocation Plan),,,,Medium,Forward,0.33%,1.2%,-,1.8%,22.42%,132.714,2025-05-26,"322,560,000"
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Balance Allocation Plan),,,,Medium,Forward,0.58%,1.45%,-,1.53%,19.1%,120.572,2025-05-26,"108,140,000"
ABL Financial Planning Fund (Conservative Plan),,,,Medium to High,Forward,0.63%,1%,-,1.52%,20.95%,132.671,2025-05-26,"421,000,000"
Pak Qatar Asset Allocation Plan I (PQAAP IA),,,,-,-,0.47%,0.15%,-,1.47%,17.01%,117.466,2025-05-27,"11,009,800,000"
HBL Islamic Asset Allocation Fund Plan II,,,,-,-,1.05%,0.65%,0.48%,1.43%,12.94%,114.497,2025-05-27,"669,000,000"
Lakson Islamic Tactical Fund,,,,-,-,3.67%,2%,-,1.42%,20.23%,103.545,2025-05-27,"580,000,000"
Pak Qatar Asset Allocation Plan II (PQAAP IIA),,,,-,-,0.42%,0.15%,-,1.32%,14.54%,115.033,2025-05-27,"18,350,200,000"
Faysal Islamic Asset Allocation Fund,,,,High,Forward,0.54%,0.15%,0.51%,1.31%,17.88%,105.709,2025-05-27,"915,580,000"
ABL Special Saving Fund (ABL Special Saving Plan IV),,,,-,-,1.38%,0.55%,-,1.26%,16.01%,11.7697,2025-05-27,"14,336,000,000"
Alfalah GHP Islamic Value Fund,,,,High,Forward,0.54%,0.15%,0.02%,1.18%,14.71%,127.556,2025-05-27,"1,063,810,000"
ABL Special Saving Fund (ABL Special Saving Plan III),,,,-,-,1.47%,0.95%,-,1.14%,15.94%,11.8223,2025-05-27,"3,727,000,000"
Alfalah Financial Value Fund (Alfalah Financial Value Plan I),,,,-,-,0.35%,0.1%,0.04%,1.11%,35.17%,134.842,2025-05-27,"3,152,300,000"
ABL Special Saving Fund (ABL Special Saving Plan V),,,,-,-,1.39%,0.95%,0.15%,1.11%,15.98%,11.7152,2025-05-27,"5,643,000,000"
ABL Special Saving Fund (ABL Special Saving Plan I),,,,-,-,1.2%,0.95%,-,0.96%,15.48%,11.6732,2025-05-27,"34,918,000,000"
ABL Special Saving Fund (ABL Special Saving Plan II),,,,-,-,0.5%,0.3%,-,0.85%,14.9%,10.743,2025-05-27,"9,508,000,000"
JS Fund of Funds,,,,High,Forward,0.75%,1%,1%,0.76%,28.93%,133.11,2025-05-27,"2,212,860,000"
ABL Islamic Financial Planning Fund (Conservative Allocation Plan),,,,Medium to High,Forward,0.33%,1%,2%,0.75%,12.51%,130.297,2025-05-26,"850,000,000"
Faysal Khushal Mustaqbil Fund (Faysal Barak’ah Women Savers Plan),,,,-,-,1.04%,1%,-,0.68%,2.63%,102.631,2025-05-26,"60,110,000"
Faysal Khushal Mustaqbil Fund (Faysal Ujala Women Savers Plan),,,,-,-,1.16%,1%,-,0.67%,2.54%,102.538,2025-05-26,"50,930,000"
Faysal Khushal Mustaqbil Fund (Faysal Nu’umah Women Savers Plan),,,,-,-,0.96%,1%,-,0.65%,2.57%,102.57,2025-05-26,"50,430,000"
Meezan Financial Planning Fund of Funds (Very Conservative Allocation Plan),,,,-,-,0.37%,1%,-,0.63%,9.86%,55.2839,2025-05-26,"9,000,000"
Lakson Asset Allocation Developed Markets Fund,,,,High,Forward,3.01%,2.25%,-,0.5%,10.19%,204.779,2025-05-26,"1,513,000,000"
Alfalah Financial Value Fund - II (Formerly Faysal Financial Value Fund),,,,-,-,1.91%,0.25%,-,0.47%,2.45%,102.48,2025-05-27,"102,000,000"
ABL Islamic Asset Allocation Fund,,,,Medium,Forward,0.85%,0.2%,-,0.32%,5.57%,10.5126,2025-05-27,"946,000,000"
Faysal Islamic Asset Allocation Fund II,,,,-,-,2.73%,2%,-,0.16%,31.25%,131.253,2025-05-27,"1,793,130,000"
Alfalah KTrade Islamic Plan VII,,,,-,-,1.03%,0.2%,-,0.12%,9.59%,123.323,2025-05-26,"12,060,000"
NBP Fixed Term Munafa Plan VI (A),,,,-,-,0.32%,0.15%,-,0%,6.9%,10.1343,2025-05-27,"8,027,000,000"
NBP Fixed Term Munafa Plan V (A),,,,-,-,0.32%,0.15%,-,0%,9.38%,10.4139,2025-05-27,"3,124,000,000"
NBP Fixed Term Munafa Plan X (A),,,,-,-,0.33%,0.15%,-,0%,9%,10.3574,2025-05-27,"4,147,000,000"
NBP Fixed Term Munafa Plan I (A),,,,-,-,0.32%,0.15%,-,0%,9.77%,10.4819,2025-05-27,"8,328,000,000"
NBP Fixed Term Munafa Plan III (A),,,,-,-,0.4%,0.16%,-,0%,10.39%,10.5094,2025-05-27,"1,411,000,000"
NBP Fixed Term Munafa Plan IV (A),,,,-,-,0.32%,0.15%,-,0%,9.29%,10.4099,2025-05-27,"10,434,000,000"
NBP Fixed Term Munafa Plan XIX,,,,-,-,0.4%,0.22%,-,0%,13.4%,10.8084,2025-05-27,"4,525,000,000"
Alfalah KPK Employee Pension Fund,,,,-,-,0.72%,-,-,0%,17.08%,124.804,2025-05-27,"41,170,000"
NBP Fixed Term Munafa Plan VII (A),,,,-,-,0.36%,0.19%,-,0%,1.88%,10.017,2025-05-27,"10,673,000,000"
NBP Fixed Term Munafa Plan XVI (NBP Mustahkam Fund II),,,,-,-,1.3%,0.94%,-,0%,16.33%,11.378,2025-05-27,"648,000,000"
NBP Fixed Term Munafa Plan XVII (NBP Mustahkam Fund II),,,,-,-,1.19%,0.87%,-,0%,15.5%,11.2399,2025-05-27,"1,136,000,000"
NBP Fixed Term Munafa Plan IX (A),,,,-,-,0.32%,0.15%,-,0%,7.04%,10.1447,2025-05-27,"2,032,000,000"
NBP Islamic Fixed Term Munafa Plan IV,,,,-,-,0.32%,0.15%,-,0%,4.93%,10.0662,2025-05-27,"2,008,000,000"
MCB DCF Fixed Return III (Plan VI),,,,-,-,-,-,-,0%,0%,100,2025-05-22,-
Alfalah Pension Fund - II (Formerly: Faysal Pension Fund),,,,-,Forward,2.31%,0.01%,-,-0.11%,38.97%,240.529,2025-05-27,"1,270,000"
Meezan Gold Fund,,,,High,Forward,2.31%,1.5%,0.18%,-0.7%,48.06%,242.708,2025-05-26,"6,271,000,000"
Meezan Tahaffuz Pension Fund,,,,-,Forward,2.74%,1.5%,1%,-0.97%,44.81%,446.451,2025-05-26,"1,050,450,000"
HBL Islamic Asset Allocation Fund Plan I,,,,High,Forward,1.05%,1.2%,0.5%,-2.94%,-2.21%,99.9819,2025-05-27,"99,000,000"
Alfalah Income & Growth Fund (Formerly: Faysal Income & Growth Fund),,,,-,-,2.72%,0.01%,0.09%,-13.94%,9.4%,118.61,2025-05-27,"80,040,000"
