symbol,name,reported_date,reported_period,eps_estimate,revenue,market_cap,dividend,earning,basic_eps,net_income,fy_revenue,shares,beta,employees,change,emp_revenue,emp_income,sector,industry,ceo,website,headquater,founded,figi
NODK,"NI Holdings, Inc.",‪265.77 M‬ USD,,53.27,0.25 USD,216,−18 −7.69%,‪1.51 M‬ USD,‪30.56 K‬ USD,,,,,Industry,−18 −7.69%,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
NOEM,CO2 Energy Transition Corp.,‪96.19 M‬ USD,,227.55,0.04 USD,4,+2 +100.00%,0.00 USD,658.00 USD,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
NOG,"Northern Oil and Gas, Inc.",—,,1.06 USD,‪548.27 M‬ USD,‪3.02 B‬ USD,6.04%,4.64,6.51 USD,‪520.31 M‬ USD,‪2.16 B‬ USD,‪95.83 M‬,1.34,49,,‪44.16 M‬ USD,‪10.62 M‬ USD,Energy Minerals,Oil & Gas Production,Nicholas O'Grady,northernoil.com,Minnetonka,2006,BBG000DRTDR6
NOMD,Nomad Foods Limited,"≈
August 6",Q2 2025,0.43 USD,‪871.23 M‬ USD,‪2.68 B‬ USD,3.91%,11.49,1.52 USD,‪245.65 M‬ USD,‪3.35 B‬ USD,‪126.54 M‬,−0.02,‪7.79 K‬,−106 −1.34%,‪430.54 K‬ USD,‪31.54 K‬ USD,Consumer Non-Durables,Food: Specialty/Candy,Stéfan Descheemaeker,nomadfoods.com,Woking,2016,BBG0071GM7Y0
NOTE,"FiscalNote Holdings, Inc.","≈
August 7",Q2 2025,−0.06 USD,‪22.83 M‬ USD,‪90.58 M‬ USD,—,—,−0.3308 USD,‪9.52 M‬ USD,‪120.27 M‬ USD,‪120.28 M‬,2.09,573,−107 −15.74%,‪209.89 K‬ USD,‪16.61 K‬ USD,Technology Services,Internet Software/Services,Josh W. Resnik,fiscalnote.com,Washington,2013,BBG00XRJ9FF7
NOTV,"Inotiv, Inc.","≈
August 6",Q3 2025,−0.39 USD,‪127.05 M‬ USD,‪97.22 M‬ USD,—,—,−3.18 USD,‪−108.44 M‬ USD,‪490.74 M‬ USD,‪29.59 M‬,1.79,‪2.08 K‬,,‪236.50 K‬ USD,‪−52.26 K‬ USD,Commercial Services,Miscellaneous Commercial Services,Robert W. Leasure,inotivco.com,West Lafayette,1974,BBG000BX15W6
NOV,NOV Inc.,"≈
July 23",Q2 2025,0.30 USD,‪2.16 B‬ USD,‪4.97 B‬ USD,2.33%,8.42,1.51 USD,‪635.00 M‬ USD,‪8.87 B‬ USD,‪371.88 M‬,0.92,‪34.01 K‬,,‪260.66 K‬ USD,‪18.67 K‬ USD,Industrial Services,Oilfield Services/Equipment,Clay C. Williams,nov.com,Houston,1862,BBG000BJX8C8
NOVA,This isn't the page you're looking for,,,,,,,,,,,,,,,,,,,,,,,
NOVT,Novanta Inc.,—,,—,—,‪4.58 B‬ USD,—,65.18,1.96 USD,‪64.09 M‬ USD,‪949.25 M‬ USD,‪35.61 M‬,1.46,‪3 K‬,,‪316.42 K‬ USD,‪21.36 K‬ USD,Electronic Technology,Electronic Equipment/Instruments,Matthijs Glastra,novanta.com,Bedford,1968,BBG000JB24Q5
NOW,"ServiceNow, Inc.",—,,3.57 USD,‪3.12 B‬ USD,‪209.65 B‬ USD,—,139.39,7.46 USD,‪1.43 B‬ USD,‪10.98 B‬ USD,‪206.28 M‬,1.44,‪26.29 K‬,,‪417.75 K‬ USD,‪54.20 K‬ USD,Technology Services,Packaged Software,William R. McDermott,servicenow.com,Santa Clara,2004,BBG000M1R011
NPB,"Northpointe Bancshares, Inc.",—,,0.52 USD,‪58.07 M‬ USD,‪461.52 M‬ USD,0.76%,—,—,‪55.16 M‬ USD,‪386.01 M‬ USD,‪20.79 M‬,1.09,491,,‪112.34 K‬ USD,,Finance,Regional Banks,Charles A. Williams,northpointe.com,Grand Rapids,1998,BBG000QKT8D3
NPCE,"Neuropace, Inc.",—,,—,—,‪424.08 M‬ USD,—,—,−0.83 USD,‪−27.14 M‬ USD,‪79.91 M‬ USD,‪22.82 M‬,0.87,184,,‪434.27 K‬ USD,‪−147.51 K‬ USD,Health Technology,Medical Specialties,Joel D. Becker,neuropace.com,Mountain View,1997,BBG001KWZD52
NPK,"National Presto Industries, Inc.",‪678.56 M‬ USD,,14.60,5.97 USD,‪1.13 K‬,+119 +11.82%,‪344.79 K‬ USD,‪36.82 K‬ USD,,,,,Industry,,,,,,,,,,
NPKI,NPK International Inc.,—,,—,—,‪696.47 M‬ USD,—,15.16,0.56 USD,‪45.47 M‬ USD,‪217.49 M‬ USD,‪79.66 M‬,1.36,460,‪−1.09 K‬ −70.32%,‪472.80 K‬ USD,‪77.39 K‬ USD,Industrial Services,Contract Drilling,Matthew S. Lanigan,npki.com,The Woodlands,1932,BBG000C2HWL9
NPO,Enpro Inc.,—,,—,—,‪4.03 B‬ USD,0.65%,48.04,4.04 USD,‪72.90 M‬ USD,‪1.05 B‬ USD,‪20.88 M‬,1.32,‪3.5 K‬,,‪299.63 K‬ USD,‪20.83 K‬ USD,Producer Manufacturing,Industrial Machinery,Eric Andre Vaillancourt,enpro.com,Charlotte,2002,BBG000BW2FF4
NPWR,NET Power Inc.,—,,—,—,‪573.96 M‬ USD,—,—,−2.05 USD,‪−49.19 M‬ USD,‪250.00 K‬ USD,‪31.93 M‬,1.40,68,,‪3.68 K‬ USD,‪−723.40 K‬ USD,Producer Manufacturing,Electrical Products,Daniel Joseph Rice,netpower.com,Durham,2010,BBG00ZMY0GQ9
NRC,National Research Corporation,"≈
August 5",Q2 2025,—,—,‪365.48 M‬ USD,3.07%,15.16,1.03 USD,‪24.78 M‬ USD,‪143.06 M‬ USD,‪12.30 M‬,0.81,368,−67 −15.40%,‪388.75 K‬ USD,‪67.34 K‬ USD,Health Services,Services to the Health Industry,Trent Green,nrchealth.com,Lincoln,1981,BBG004K1F8W7
NRDS,"NerdWallet, Inc.","≈
July 30",Q2 2025,0.10 USD,‪195.25 M‬ USD,‪830.82 M‬ USD,—,28.75,0.41 USD,‪30.40 M‬ USD,‪687.60 M‬ USD,‪40.18 M‬,0.94,650,−80 −10.96%,‪1.06 M‬ USD,‪46.77 K‬ USD,Technology Services,Packaged Software,Tim Chen,nerdwallet.com,San Francisco,2009,BBG0087DN233
NRDY,Nerdy Inc.,"≈
August 6",Q2 2025,−0.07 USD,‪46.59 M‬ USD,‪334.26 M‬ USD,—,—,−0.40 USD,‪−42.59 M‬ USD,‪190.23 M‬ USD,‪33.69 M‬,1.89,600,,‪317.05 K‬ USD,‪−70.97 K‬ USD,Technology Services,Packaged Software,Charles K. Cohn,nerdy.com,St. Louis,2007,BBG00XWZB4V9
NRG,"NRG Energy, Inc.","≈
August 7",Q2 2025,1.27 USD,‪6.79 B‬ USD,‪29.26 B‬ USD,1.14%,24.56,6.54 USD,‪1.13 B‬ USD,‪28.10 B‬ USD,‪193.23 M‬,2.04,‪15.64 K‬,‪−2.49 K‬ −13.76%,‪1.80 M‬ USD,‪71.94 K‬ USD,Utilities,Electric Utilities,Lawrence Stephen Coben,nrg.com,Houston,1989,BBG000D8RG11
NRGV,"Energy Vault Holdings, Inc.","≈
August 12",Q2 2025,−0.11 USD,‪25.93 M‬ USD,‪134.20 M‬ USD,—,—,−0.9150 USD,‪−135.75 M‬ USD,‪46.20 M‬ USD,‪87.36 M‬,2.08,163,−20 −10.93%,‪283.43 K‬ USD,‪−832.82 K‬ USD,Producer Manufacturing,Electrical Products,Robert Piconi,energyvault.com,Westlake Village,BBG00YXTKKH0,
NRIM,Northrim BanCorp Inc,—,,2.27 USD,—,‪499.64 M‬ USD,2.79%,11.85,7.64 USD,‪36.97 M‬ USD,‪195.59 M‬ USD,‪5.37 M‬,1.07,503,,‪388.85 K‬ USD,‪73.50 K‬ USD,Finance,Regional Banks,Michael G. Huston,northrim.com,Anchorage,1990,BBG000C5QMH9
NRIX,"Nurix Therapeutics, Inc.",—,,—,—,‪955.99 M‬ USD,—,—,−2.81 USD,‪−193.57 M‬ USD,‪54.55 M‬ USD,‪74.71 M‬,1.72,286,,‪190.73 K‬ USD,‪−676.81 K‬ USD,Health Technology,Pharmaceuticals: Major,Arthur T. Sands,nurixtx.com,San Francisco,2009,BBG00SDJ8M78
NRP,Natural Resource Partners LP Limited Partnership,—,,—,—,‪1.25 B‬ USD,3.23%,8.93,10.59 USD,‪180.55 M‬ USD,‪245.03 M‬ USD,‪8.32 M‬,0.70,54,−1 −1.82%,‪4.54 M‬ USD,‪3.34 M‬ USD,Energy Minerals,Coal,Corby J. Robertson,nrplp.com,Houston,2002,BBG000GMHBH2
NRSN,NeuroSense Therapeutics Ltd.,—,,—,—,‪42.94 M‬ USD,—,—,−0.58 USD,‪−10.21 M‬ USD,0.00 USD,‪17.38 M‬,−0.07,15,−3 −16.67%,0.00 USD,‪−680.67 K‬ USD,Health Technology,Pharmaceuticals: Major,Alon Ben-Noon,neurosense-tx.com,Herzliya,2017,IL0011809592
NRXP,"NRX Pharmaceuticals, Inc.",—,,—,—,‪56.54 M‬ USD,—,—,−2.01 USD,‪−25.13 M‬ USD,0.00 USD,‪14.34 M‬,−2.06,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
NRXS,"Neuraxis, Inc.",—,,—,—,‪23.29 M‬ USD,—,—,−1.24 USD,‪−8.24 M‬ USD,‪2.69 M‬ USD,‪4.20 M‬,0.90,21,,‪127.90 K‬ USD,‪−392.45 K‬ USD,Health Technology,Medical Specialties,Brian Carrico,neuraxis.com,Carmel,2011,BBG01C9N12C3
NSC,Norfolk Southern Corporation,—,,—,—,‪56.53 B‬ USD,2.15%,16.81,14.66 USD,‪2.62 B‬ USD,‪12.12 B‬ USD,‪225.28 M‬,0.83,‪19.6 K‬,‪−1.1 K‬ −5.31%,‪618.52 K‬ USD,‪133.62 K‬ USD,Transportation,Railroads,Mark R. George,norfolksouthern.com,Atlanta,1980,BBG000BQ5DS5
NSIT,"Insight Enterprises, Inc.",—,,—,—,‪4.27 B‬ USD,—,26.78,5.89 USD,‪249.69 M‬ USD,‪8.70 B‬ USD,‪31.47 M‬,1.19,‪14.32 K‬,−113 −0.78%,‪607.49 K‬ USD,‪17.43 K‬ USD,Technology Services,Information Technology Services,Joyce A. Mullen,insight.com,Chandler,1988,BBG000DY3K39
NSP,"Insperity, Inc.",—,,—,—,‪2.35 B‬ USD,3.34%,43.41,1.65 USD,‪91.00 M‬ USD,‪6.58 B‬ USD,‪35.60 M‬,0.77,‪4.5 K‬,,‪1.46 M‬ USD,‪20.22 K‬ USD,Commercial Services,Miscellaneous Commercial Services,Paul J. Sarvadi,insperity.com,Kingwood,1986,BBG000BJ41X2
NSPR,InspireMD Inc.,—,,—,—,‪75.03 M‬ USD,—,—,−0.79 USD,‪−32.01 M‬ USD,‪7.01 M‬ USD,‪19.53 M‬,−0.27,86,,‪81.50 K‬ USD,‪−372.15 K‬ USD,Health Technology,Medical Specialties,Marvin L. Slosman,inspiremd.com,Miami,2005,BBG000QDM9D4
NSSC,"NAPCO Security Technologies, Inc.","≈
September 1",Q4 2025,0.26 USD,‪44.26 M‬ USD,‪1.02 B‬ USD,1.95%,23.36,1.24 USD,‪49.82 M‬ USD,‪188.82 M‬ USD,‪34.03 M‬,1.53,‪1.07 K‬,−80 −6.96%,‪176.47 K‬ USD,‪46.56 K‬ USD,Commercial Services,Miscellaneous Commercial Services,Richard L. Soloway,napcosecurity.com,Amityville,1969,BBG000BQ6CT5
NSTS,"NSTS Bancorp, Inc.",‪64.84 M‬ USD,,—,−0.18 USD,53,+7 +15.22%,‪231.04 K‬ USD,‪−14.89 K‬ USD,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
NSYS,Nortech Systems Incorporated,‪25.33 M‬ USD,,—,−1.22 USD,701,−32 −4.37%,‪182.79 K‬ USD,‪−1.85 K‬ USD,,,,,Industry,−32 −4.37%,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
NTAP,"NetApp, Inc.",—,,—,—,‪21.93 B‬ USD,2.02%,18.60,5.55 USD,‪1.19 B‬ USD,‪6.57 B‬ USD,‪205.35 M‬,1.51,—,,‪101.37 K‬ USD,,Electronic Technology,Computer Peripherals,George Kurian,netapp.com,San Jose,1992,BBG000FP1N32
NTB,Bank of N.T. Butterfield & Son Limited (The) Voting,—,,1.25 USD,—,‪1.81 B‬ USD,4.07%,8.97,4.92 USD,‪216.32 M‬ USD,‪816.11 M‬ USD,‪41.10 M‬,0.71,‪1.31 K‬,−28 −2.10%,‪624.89 K‬ USD,‪165.63 K‬ USD,Finance,Regional Banks,Michael Weld Collins,butterfieldgroup.com,Hamilton,1858,BBG00DK7NM27
NTCL,NETCLASS TECHNOLOGY INC,‪33.10 M‬ USD,,—,−0.08 USD,37,+5 +15.63%,‪273.02 K‬ USD,‪−39.94 K‬ USD,,,,,Industry,,,,,,"H2 '22
H1 '23
H2 '23
H1 '24
H2 '24",,,,
NTCT,"NetScout Systems, Inc.",—,,—,—,‪1.70 B‬ USD,—,—,−5.14 USD,‪−366.92 M‬ USD,‪822.68 M‬ USD,‪68.70 M‬,1.07,‪2.12 K‬,−173 −7.53%,‪387.51 K‬ USD,‪−172.83 K‬ USD,Technology Services,Packaged Software,Anil K. Singhal,netscout.com,Westford,1984,BBG000C136Z8
NTGR,"NETGEAR, Inc.",—,,−0.15 USD,—,‪872.72 M‬ USD,—,37.11,0.88 USD,‪12.36 M‬ USD,‪674.66 M‬ USD,‪26.09 M‬,1.77,655,,‪1.03 M‬ USD,‪18.87 K‬ USD,Technology Services,Information Technology Services,Charles J. Prober,netgear.com,San Jose,1996,BBG000C4GBR6
NTHI,"NeOnc Technologies Holdings, Inc.",‪131.28 M‬ USD,,—,—,4,+1 +33.33%,‪20.75 K‬ USD,‪−2.97 M‬ USD,,,,,Industry,,,,,,"Q4 '23
Q1 '24
Q3 '24
Q4 '24
Q1 '25",,,,
NTIC,Northern Technologies International Corporation,—,,0.04 USD,—,‪70.30 M‬ USD,0.54%,19.13,0.40 USD,‪5.41 M‬ USD,‪85.06 M‬ USD,‪7.81 M‬,−0.02,264,,‪322.20 K‬ USD,‪20.49 K‬ USD,Process Industries,Industrial Specialties,Gregory Patrick Lynch,ntic.com,Circle Pines,1970,BBG000D380M5
NTIP,"Network-1 Technologies, Inc.",‪28.56 M‬ USD,,—,−0.11 USD,2,0,‪50.00 K‬ USD,‪−1.52 M‬ USD,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
NTLA,"Intellia Therapeutics, Inc.",—,,—,—,‪857.67 M‬ USD,—,—,−5.23 USD,‪−519.02 M‬ USD,‪57.88 M‬ USD,‪97.48 M‬,2.25,403,−123 −23.38%,‪143.62 K‬ USD,‪−1.29 M‬ USD,Health Technology,Biotechnology,John M. Leonard,intelliatx.com,Cambridge,2014,BBG007KC7PB0
NTNX,"Nutanix, Inc.",—,,—,—,‪20.67 B‬ USD,—,"110,157.14",0.05 USD,‪−124.78 M‬ USD,‪2.15 B‬ USD,‪255.87 M‬,1.34,‪7.15 K‬,,‪300.53 K‬ USD,‪−17.45 K‬ USD,Technology Services,Packaged Software,Rajiv Ramaswami,nutanix.com,San Jose,2009,BBG001NDW1Z7
NTRA,"Natera, Inc.",—,,—,—,‪22.42 B‬ USD,—,—,−1.47 USD,‪−190.43 M‬ USD,‪1.70 B‬ USD,‪129.30 M‬,0.96,‪4.43 K‬,,‪382.70 K‬ USD,‪−42.95 K‬ USD,Health Technology,Medical Specialties,Stephen Leonard Chapman,natera.com,Austin,2003,BBG001J1BQ86
NTRB,Nutriband Inc.,"≈
October 1",Q2 2025,−0.17 USD,‪705.00 K‬ USD,‪85.97 M‬ USD,—,—,−0.90 USD,‪−10.48 M‬ USD,‪2.14 M‬ USD,‪5.13 M‬,1.43,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
NTRP,"NextTrip, Inc.",—,,—,—,‪24.72 M‬ USD,—,—,−5.84 USD,‪−10.12 M‬ USD,‪501.42 K‬ USD,‪3.96 M‬,−0.60,16,,‪31.34 K‬ USD,‪−633.03 K‬ USD,Technology Services,Packaged Software,William R. Kerby,,1985,BBG000N25B45,
NTRS,Northern Trust Corporation,—,,2.01 USD,—,‪21.33 B‬ USD,2.76%,10.15,10.75 USD,‪2.01 B‬ USD,‪15.91 B‬ USD,‪191.21 M‬,1.06,‪23.3 K‬,,‪682.80 K‬ USD,‪86.45 K‬ USD,Finance,Investment Managers,Michael G. O'Grady,northerntrust.com,Chicago,1889,BBG000BQ74K1
NTWK,NETSOL Technologies Inc.,"≈
September 30",Q1 2023,—,—,‪33.96 M‬ USD,—,132.06,0.02 USD,‪683.87 K‬ USD,‪61.39 M‬ USD,‪9.28 M‬,0.64,Industry,,,,,,"Q3 '24
Q4 '24
Q1 '25
Q2 '25
Q3 '25",,,,
NTWO,Newbury Street II Acquisition Corp,‪247.31 M‬ USD,,90.62,0.11 USD,Industry,,,,,,,,Revenue to profit conversion,,,,,,,,,,
NU,Nu Holdings Ltd.,—,,—,—,‪57.44 B‬ USD,—,27.64,0.45 USD,‪1.97 B‬ USD,‪10.33 B‬ USD,‪3.32 B‬,1.38,‪8.72 K‬,,‪1.19 M‬ USD,‪226.26 K‬ USD,Finance,Regional Banks,David Vélez Osorno,nubank.com.br,George Town,2016,BBG0136WM1M4
NUE,Nucor Corporation,—,,,,—,—,—,—,,,,,‪28.27 B‬ USD,,20.68,5.62 USD,,,,,,,
NUKK,Nukkleus Inc.,‪70.12 M‬ USD,,0.77,20.60 USD,14,+2 +16.67%,‪422.39 K‬ USD,‪−608.47 K‬ USD,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
NUS,"Nu Skin Enterprises, Inc.",—,,0.24 USD,—,‪415.56 M‬ USD,2.99%,—,−0.78 USD,‪−146.59 M‬ USD,‪1.73 B‬ USD,‪47.46 M‬,0.99,‪11.3 K‬,‪−3.9 K‬ −25.66%,‪153.28 K‬ USD,‪−12.97 K‬ USD,Consumer Non-Durables,Household/Personal Care,Ryan S. Napierski,nuskin.com,Provo,1984,BBG000HG21Y3
NUTX,Nutex Health Inc.,—,,—,—,‪653.61 M‬ USD,—,9.88,12.07 USD,‪52.18 M‬ USD,‪479.95 M‬ USD,‪3.54 M‬,2.46,800,,‪599.94 K‬ USD,‪65.22 K‬ USD,Health Services,Medical/Nursing Services,Thomas T. Vo,nutexhealth.com,Houston,2011,BBG000PQN2M0
NUVB,Nuvation Bio Inc.,—,,—,—,‪854.06 M‬ USD,—,—,−2.34 USD,‪−567.94 M‬ USD,‪7.87 M‬ USD,‪226.75 M‬,1.77,220,,‪35.79 K‬ USD,‪−2.58 M‬ USD,Health Technology,Biotechnology,David T. Hung,nuvationbio.com,New York,2018,BBG00VHJ0CC1
NUVL,"Nuvalent, Inc.",—,,—,—,‪5.60 B‬ USD,—,—,−4.40 USD,‪−260.76 M‬ USD,0.00 USD,‪44.49 M‬,1.07,142,,0.00 USD,‪−1.84 M‬ USD,Health Technology,Biotechnology,James R. Porter,nuvalent.com,Cambridge,2017,BBG00Z1SLMK5
NUWE,"Nuwellis, Inc.",—,,—,—,‪1.01 M‬ USD,—,—,−18.2363 USD,‪−11.16 M‬ USD,‪8.74 M‬ USD,‪4.37 M‬,1.68,38,−21 −35.59%,‪230.00 K‬ USD,‪−293.82 K‬ USD,Health Technology,Medical Specialties,John L. Erb,nuwellis.com,Eden Prairie,1999,BBG000QVFRH8
NVAX,"Novavax, Inc.",—,,,,—,—,−0.05 USD,‪147.50 M‬ USD,,,,,‪1.18 B‬ USD,−591 −38.30%,2.81,3.05 USD,,,,,,,
NVCR,NovoCure Limited,—,,—,—,‪1.88 B‬ USD,—,—,−1.51 USD,‪−168.63 M‬ USD,‪605.22 M‬ USD,‪99.05 M‬,1.22,‪1.49 K‬,,‪406.73 K‬ USD,‪−113.32 K‬ USD,Health Technology,Medical Specialties,Ashley Cordova,novocure.com,St. Helier,2000,JE00BYSS4X48
NVCT,"Nuvectis Pharma, Inc.",—,,—,—,‪184.91 M‬ USD,—,—,−1.09 USD,‪−19.00 M‬ USD,0.00 USD,‪10.76 M‬,2.42,13,,0.00 USD,‪−1.46 M‬ USD,Health Technology,Pharmaceuticals: Major,Ronald E. Bentsur,nuvectis.com,Fort Lee,2020,BBG012BCR149
NVDA,NVIDIA,—,,,,—,—,—,—,,,,,‪3.51 T‬ USD,,46.06,2.97 USD,,,,,,,
NVEC,NVE Corporation,‪350.40 M‬ USD,,23.27,3.12 USD,42,−12 −22.22%,‪616.06 K‬ USD,‪358.68 K‬ USD,,,,,Industry,−12 −22.22%,,,,,"Q4 '23
Q1 '24
Q2 '24
Q3 '24
Q4 '24",,,,
NVEE,"NV5 Global, Inc.",—,,—,—,‪1.50 B‬ USD,—,45.03,0.50 USD,‪27.98 M‬ USD,‪941.26 M‬ USD,‪57.33 M‬,0.59,‪5.02 K‬,,‪187.35 K‬ USD,‪5.57 K‬ USD,Industrial Services,Engineering & Construction,Benjamin R. Heraud,nv5.com,Hollywood,2011,BBG005BT60Y8
NVFY,"Nova Lifestyle, Inc",‪16.72 M‬ USD,,—,−1.12 USD,27,0,‪358.78 K‬ USD,‪−205.99 K‬ USD,,,,,Industry,,,,,,"Q1 '24
Q2 '24
Q3 '24
Q4 '24
Q1 '25",,,,
NVGS,Navigator Holdings Ltd.,—,,—,—,‪972.43 M‬ USD,1.42%,11.08,1.28 USD,‪85.57 M‬ USD,‪566.68 M‬ USD,‪32.25 M‬,1.12,174,−1 −0.57%,‪3.26 M‬ USD,‪491.79 K‬ USD,Transportation,Marine Shipping,Mads Peter Zacho,navigatorgas.com,London,1997,BBG000R9BLC8
NVMI,Nova Ltd.,"≈
July 31",Q2 2025,2.06 USD,‪214.95 M‬ USD,‪6.64 B‬ USD,—,32.94,7.25 USD,‪183.76 M‬ USD,‪672.40 M‬ USD,‪29.39 M‬,1.77,‪1.38 K‬,,‪486.19 K‬ USD,‪132.87 K‬ USD,Electronic Technology,Electronic Equipment/Instruments,Gabriel Waisman,novami.com,Rehovot,1993,IL0010845571
NVNI,Nvni Group Limited,"≈
September 3",H1 2025,−0.06 USD,‪18.34 M‬ USD,‪12.34 M‬ USD,—,—,−0.4743 USD,‪−15.98 M‬ USD,‪35.85 M‬ USD,‪15.04 M‬,−7.76,618,,‪58.01 K‬ USD,‪−25.87 K‬ USD,Technology Services,Packaged Software,Pierre Schurmann,nuvini.co,São Paulo,2022,BBG01JLGM1D7
NVNO,enVVeno Medical Corporation,"≈
July 31",Q2 2025,−0.28 USD,0.00 USD,‪75.40 M‬ USD,—,—,−1.24 USD,‪−21.82 M‬ USD,0.00 USD,‪17.37 M‬,1.52,37,,0.00 USD,‪−589.70 K‬ USD,Health Technology,Medical Specialties,Robert Andrew Berman,envveno.com,Irvine,1999,BBG000PVDC20
NVR,"NVR, Inc.",—,,—,—,‪21.51 B‬ USD,—,14.64,518.11 USD,‪1.68 B‬ USD,‪10.30 B‬ USD,‪2.79 M‬,0.22,‪7 K‬,,‪1.47 M‬ USD,‪240.28 K‬ USD,Consumer Durables,Homebuilding,Eugene James Bredow,nvrinc.com,Reston,1980,BBG000BQBYR3
NVRI,Enviri Corporation,—,,—,—,‪686.64 M‬ USD,—,—,−1.54 USD,‪−127.97 M‬ USD,‪2.34 B‬ USD,‪76.09 M‬,1.59,‪12 K‬,‪−1 K‬ −7.69%,‪195.16 K‬ USD,‪−10.34 K‬ USD,Industrial Services,Environmental Services,Francis Nicholas Grasberger,enviri.com,Philadelphia,1853,BBG000BLH3P8
NVST,Envista Holdings Corporation,—,,—,—,‪3.22 B‬ USD,—,—,−6.53 USD,‪−1.12 B‬ USD,‪2.51 B‬ USD,‪165.43 M‬,1.06,‪12.3 K‬,−500 −3.91%,‪204.11 K‬ USD,‪−90.94 K‬ USD,Health Technology,Medical Specialties,Paul A. Keel,envistaco.com,Brea,2018,BBG00LN4B5N0
NVT,nVent Electric plc,—,,—,—,‪11.20 B‬ USD,1.17%,19.51,3.55 USD,‪331.80 M‬ USD,‪3.01 B‬ USD,‪162.44 M‬,1.98,‪12.1 K‬,,‪248.44 K‬ USD,‪19.90 K‬ USD,Electronic Technology,Electronic Components,Beth A. Wozniak,nvent.com,London,2017,IE00BDVJJQ56
NVTS,Navitas Semiconductor Corporation,"≈
August 18",Q2 2025,−0.05 USD,‪14.43 M‬ USD,‪1.55 B‬ USD,—,—,−0.53 USD,‪−84.60 M‬ USD,‪83.30 M‬ USD,‪138.97 M‬,0.88,280,−34 −10.83%,‪297.51 K‬ USD,‪−302.14 K‬ USD,Electronic Technology,Semiconductors,Gene Sheridan,navitassemi.com,Torrance,2020,BBG00YQ6KTL4
NVVE,Nuvve Holding Corp.,—,,—,—,‪4.25 M‬ USD,—,—,−18.67 USD,‪−17.40 M‬ USD,‪5.29 M‬ USD,‪2.82 M‬,0.56,36,−11 −23.40%,‪146.84 K‬ USD,‪−483.27 K‬ USD,Producer Manufacturing,Electrical Products,Gregory Poilasne,nuvve.com,San Diego,2010,BBG00Z49PKM2
NWBI,"Northwest Bancshares, Inc.",—,,0.28 USD,—,‪1.61 B‬ USD,6.44%,13.89,0.90 USD,‪100.15 M‬ USD,‪756.04 M‬ USD,‪120.75 M‬,0.67,‪1.96 K‬,−142 −6.77%,‪386.52 K‬ USD,‪51.20 K‬ USD,Finance,Savings Banks,Louis J. Torchio,northwest.bank,Columbus,1896,BBG000BG8NP5
NWE,"NorthWestern Energy Group, Inc.",—,,—,—,‪3.24 B‬ USD,5.02%,13.68,3.85 USD,‪224.11 M‬ USD,‪1.51 B‬ USD,‪60.85 M‬,0.09,‪1.58 K‬,,‪955.14 K‬ USD,‪141.39 K‬ USD,Utilities,Electric Utilities,Brian B. Bird,northwesternenergy.com,Sioux Falls,1923,BBG000Q1NMJ4
NWFL,Norwood Financial Corp.,—,,—,—,‪239.85 M‬ USD,4.79%,296.68,0.09 USD,‪−160.00 K‬ USD,‪101.38 M‬ USD,‪8.23 M‬,0.67,264,−1 −0.38%,‪384.00 K‬ USD,−606.06 USD,Finance,Regional Banks,James O. Donnelly,waynebank.com,Honesdale,1870,BBG000BN1P63
NWL,Newell Brands Inc.,—,,—,—,‪2.39 B‬ USD,4.75%,—,−0.59 USD,‪−216.00 M‬ USD,‪7.58 B‬ USD,‪415.60 M‬,0.91,‪23.7 K‬,−900 −3.66%,‪319.92 K‬ USD,‪−9.11 K‬ USD,Producer Manufacturing,Industrial Machinery,Christopher H. Peterson,newellbrands.com,Atlanta,1903,BBG000BQC9V2
NWN,Northwest Natural Holding Company,—,,—,—,‪1.63 B‬ USD,4.77%,16.31,2.52 USD,‪78.87 M‬ USD,‪1.15 B‬ USD,‪39.97 M‬,0.27,‪1.27 K‬,,‪904.31 K‬ USD,‪61.86 K‬ USD,Utilities,Gas Distributors,Justin B. Palfreyman,nwnaturalholdings.com,Portland,1859,BBG00KXKRKY3
NWPX,Northwest Pipe Company,—,,0.72 USD,—,‪393.94 M‬ USD,—,12.07,3.32 USD,‪34.21 M‬ USD,‪492.31 M‬ USD,‪9.57 M‬,0.96,‪1.36 K‬,,‪362.53 K‬ USD,‪25.19 K‬ USD,Non-Energy Minerals,Construction Materials,Scott J. Montross,nwpipe.com,Vancouver,1966,BBG000FLVLF9
